text,category
 how do we devise a way to enforce the laws,Synthesis
which part of a data packet is used by a router to determine the destination network,Knowledge
 decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
How do teenagers use code in emails and instant messages?,Application
Compute the volume of a cylinder,Application
Show the value of x after running this program fragment,Application
State in your own words the rule for balls and strikes in baseball.,Comprehension
 Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis
Construct the -Bit Ripple carry Adder Circuit,Application
 Conclude and support which economic system leads to a higher standard of living.,Evaluation
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
Please label the diagram below:,Knowledge
 Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level ),Evaluation
What are major facts about particular cultures and societies,Knowledge
 Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
Recall locations of a historical events,Knowledge
How to specify the impact energy and impact test temperature of the material in the Code,Application
How would you distinguish between polymyositis and viral myositis in a -year-old man with weakness and a rash?,Analysis
How much did he pay for his car,Knowledge
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
Apply shading to produce depth in drawing.,Application
How does Hawaii contrast and compare to Florida?,Analysis
  Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation
" Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
" Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluation
Can you develop a proposal which would . . .?,Synthesis
Use tableau methods to prove that the following tableau is valid.,Application
How would the U.S.A. be different if the South had won the Civil War?,Synthesis
  How can we combine and abstract facts about a software system to create new knowledge?,Synthesis
Recall the equation for the Ideal Gas Law.,Knowledge
 Write an essay in not more than  words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
 Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
What is a textual index,Knowledge
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Synthesis
 Estimate roughly how long the collision process takes,Evaluation
How would you show your understanding of the ABC process,Application
 suggest ways in which it could have responded more effectively,Evaluation
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure ,Application
 Write a letter to the editor on a social issue of concern to you.,Synthesis
What would happen if the rainfall doubled in your state next year,Application
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
How does an endorsement differ from a teaching certificate,Analysis
What happens if you restrict a determinental process to a subset R  S?,Application
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
How was this similar to . . .?,Analysis
State the guidelines to design an anodic protection system,Knowledge
" structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
Devise plans to market or make artwork more valuable.,Synthesis
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S stainless steel vessel.,Comprehension
 What criteria would you use to assess...?,Evaluation
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
List the steps involved in titration.,Knowledge
 Decide which candidate would best fill the position of principal.,Evaluation
Use Gauss' Law to find the electric field between the plates when the charge on them is Q,Application
 How effective are . . .?,Evaluation
Tell how Phillip kept himself alive after Timothy died.,Comprehension
Compose a rhythm or put new words to a known melody.,Synthesis
Explain in your own words what is meant by mercantilism.,Comprehension
 Decide whether you learned enough about electricity from this book.,Evaluation
Express the following percentages as fractions in simplest form,Comprehension
What can I do to investigate this problem further,Analysis
What questions would you ask if . . .?,Application
 Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluation
 Can you defend your position about . . .?,Evaluation
How would you investigate this patient,Analysis
 Critique an experimental design or a research proposal.,Evaluation
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application
Identify the correct definition of osmosis.,Knowledge
 Evaluate board games and justify why rules are important.,Evaluation
Use the rule for a semicolon in a sentence.,Application
Specify a deterministic finite automaton (DFA) recognizing the,Application
Rewrite the markov matrix to account for this slight change.,Comprehension
Make a list of facts you learned from the story.,Knowledge
Restate main idea of story in own words.,Comprehension
in which continent does the state of suriname fall,Knowledge
"How can we construct H given I, B and E?",Application
What is a global variable?,Knowledge
 Revise the story and specify the type of audience that would enjoy this book.,Evaluation
 Do you think . . . is a good or a bad thing?,Evaluation
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
Summarize this magazine article.,Comprehension
Compare three celebrations using a Venn diagram.,Analysis
 Estimate the difficulty of the question,Evaluation
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis
Define mercantilism.,Knowledge
Show how they have used creative writing strategies appropriate to the format,Application
How do we differentiate between an interview and an interrogation?,Analysis
Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
Compute the area of actual circles.,Application
Design a new animal to live in the jungle.,Synthesis
In one sentence illustrate the main point of a written passage.,Comprehension
 Judge aesthetic qualities and relationship to future values.,Evaluation
Recite the the Gaussian law,Knowledge
Classify animals into two groups.,Comprehension
