txt,category
Interpret the graph and state how many trees were cut down to produce paper.,Application
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation
Create several different strategies to solve a mathematical problem.,Synthesis
What is the definition of the following terms...,Knowledge
Can you justify the decisions you have made ?,Evaluation
How would you express ________________?,Comprehension
Can you propose a model that would change . . . ?,Synthesis
Design or sketch a marketing strategy for your product using a known strategy as a model.,Application
Recall the main components of the flowchart,Knowledge
Explain why the story has the title that it does.,Comprehension
Can you assess the value or importance of . . . ?,Evaluation
State in one word ...,Comprehension
Devise a different way of using X,Synthesis
Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j - 1] + 2;else alpha[j] = alpha[j - 1] + 3;},Analysis
Recall four facts from the story,Knowledge
Can you discriminate the difference parts . . . ?,Analysis
Can you think of an original way for collect and develop the . . . ?,Synthesis
"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Synthesis
How would you justify . . . ?,Evaluation
How would you explain...?,Comprehension
List two local variables in the main function,Knowledge
Prepare a list of criteria to judge ... Evaluate expressions,Evaluation
How can you distinguish the different parts of_____?,Analysis
What distinctions can be made about...and...?,Analysis
Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120,Comprehension
Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Application
What criteria would you use to assess...?,Evaluation
Explain what is happening in the first picture of the story.,Comprehension
What is the difference between atomic and molecular mass?,Comprehension
Analyze the following questionnaire.,Analysis
What data was used to evaluate ____________?,Evaluation
Explain what is happening...,Comprehension
Analyze the selected information.,Analysis
How would you rank the items given the criteria ?,Evaluation
Class Facility is an abstract class. Explain what this means,Comprehension
How does the law of supply and demand explain the current increase in the price of fruit?,Application
How would you classify the type of ...?,Comprehension
What is Encapsulation ?,Knowledge
What hypotheses can you develop based on the data ? Why ?,Synthesis
Predict what would happen if ...,Application
Write the definition of displaySize() method for each class,Application
What is the analysis of ______________?,Analysis
Create several scientific hypotheses to ...,Synthesis
Draw a diagram to show the memory configuration after the following statements ....,Analysis
Rate the following recommendations and set the priority _____.,Evaluation
What limitation does X have?,Evaluation
Categorize the story into parts and think of a good title for each of the parts.,Analysis
Construct an alternative way to ...,Synthesis
"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analysis
Name all the characters in the story.,Knowledge
Make a list of the main events of the story.,Knowledge
Describe how interest rates affect the economy,Comprehension
"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Synthesis
"Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry.",Application
Design a scientific study to test the effect of different kinds of music on hens' egg production.,Synthesis
Write a journal from the point of view of mountaineer.,Synthesis
Memorize and recall the periodic table,Knowledge
Suggest a way to deal with this scenario,Application
How can you differentiate between...?,Analysis
Explain what is meant.,Comprehension
Write a textbook about this topic for others.,Application
Write an explanation about this topic for others,Application
"Analyze a work of art in terms of form, color and texture.",Analysis
Write a poem about the story.,Synthesis
Write a program that uses nested loops to print the following output:,Synthesis
Draw a diagram explaining how air pressure affects the weather.,Comprehension
Identify three mistakes from the passage and correct them.,Comprehension
Create an advertising campaign,Synthesis
How can you categorize ____ according to...?,Analysis
Name three 19th-century women English authors.,Knowledge
"Prepare a case to present, and evaluate your view about ...",Evaluation
Write 5 new titles for the story that would give a good idea of what it was about,Synthesis
What judgments can you make about...?,Evaluation
Can you propose an alternative plan to . . . ?,Synthesis
Can you explain what is happening . . . what is meant . . .?,Comprehension
"Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis
How can you describe _____________?,Comprehension
Merge the different ideas into a single solution.,Synthesis
Analyze a distinction. State the point of view of . . .,Analysis
Develop a proof ... and justify each step ...,Evaluation
Write what you might have done.,Application
"Based on the above dataType class, list all the function members",Knowledge
How can you explain what is meant ...?,Comprehension
Name five cities in US.,Knowledge
List two reference parameters in the setHour function,Knowledge
"While the futures market is too risky for most investors, this risk creates the opportunities for large returns. Discuss.",Analysis
Explain how the heart is like a pump.,Comprehension
Sketch an experiment to see how plants grow in different kinds of soil.,Application
Outline how class ArrayList could be implemented using an array,Evaluation
Memorize the multiplication facts,Knowledge
Name the authors of...?,Knowledge
Explain in one sentence what the method incFromN does,Comprehension
Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Synthesis
List the fractions you know and can show....,Knowledge
Propose an alternative way to solve ...,Synthesis
Compare and contrast the two items and produce a summary of their similarities and differences,Analysis
Define Inheritance concept,Knowledge
"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",Knowledge
What is the relationship between probability and statistical analysis?,Analysis
What criticisms could you make ?,Evaluation
What do you recall ...?,Knowledge
Write a C++ statement to declare a variable of type musicType name MyTune.,Application
Judge the value of... What do you think about...?,Evaluation
Rewrite the story from an animal's point of view.,Synthesis
What evidence can you list for...,Analysis
Write about your feelings in relation to...,Synthesis
Put in your own words...,Comprehension
What criteria would you use to evaluate if your answer is correct?,Evaluation
"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Synthesis
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation
List the __________________ in descending order,Knowledge
Can you defend your position about ... ?,Evaluation
Justify the object oriented programming concept,Evaluation
Judge the validity of arguments for and against astrology,Evaluation
State in your own words ...,Comprehension
List the data members,Knowledge
"In your own words, tell what the story is about.",Comprehension
"Design a record, book or magazine cover for...",Synthesis
"""Don't use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluation
What has the author used to create this effect,Analysis
List the attributes of the following shape.,Knowledge
Develop a menu for a new healthy foods restaurant,Synthesis
Discriminate the pros and cons of ____.,Analysis
List important information you can remember from lesson....,Knowledge
Design a new monetary system or an experiment for establishing.,Synthesis
Write a JAVA program to show the Overloading concept,Synthesis
What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,Analysis
Sketch a diagram which shows these fractions or take photographs of the fractions.,Application
Define morphology,Knowledge
"Discriminate the different parts of the story (introduction, development, climax, resolution.)",Analysis
Label the parts of the diagram,Knowledge
Identify the key points in the text,Comprehension
Memorize the meaning of ...,Knowledge
Define Method in JAVA.,Knowledge
What would you cite to defend the actions . . . ?,Evaluation
Write another ending to the story that is different from the author's ending.,Synthesis
Choose the best statements that apply ...,Application
Can you develop method to handle the following case . . . ?,Synthesis
Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis
Design a building to house your study.,Synthesis
Judge how well a project meets the criteria of a rubric.,Evaluation
